Version Number,File Name,LOC Touched,Number of Revisions,Number of Bug Fixed,LOC Added,Max LOC Added,Chg Set Size,Max Chg Set,Avg Chg Set,Avg LOC Added,Buggy
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/data/MessageFormatter.java,123,1,0,123,123,15,15,15,123,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java,43,1,0,43,43,15,15,15,43,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java,47,1,0,47,47,15,15,15,47,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/EntryFormatter.java,77,1,0,77,77,15,15,15,77,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,130,5,0,126,54,85,47,17,25.2,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,44,1,0,44,44,15,15,15,44,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,59,2,0,58,58,31,16,15.5,29,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,56,8,0,16,10,138,47,17.25,2,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,110,9,0,44,22,160,47,17.777779,4.888889,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,109,3,0,106,62,33,15,11,35.333332,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,103,6,0,58,37,53,16,8.833333,9.666667,false
4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,950,5,0,933,684,59,21,11.8,186.6,false
4.2.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,87,3,0,10,9,115,79,38.333332,3.3333333,false
4.2.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,17,2,0,8,5,26,21,13,4,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultiLedgerManagerTestCase.java,56,2,0,56,55,57,47,28.5,28,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultiLedgerManagerMultiDigestTestCase.java,64,2,0,64,63,57,47,28.5,32,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,19,3,0,5,4,129,79,43,1.6666666,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,271,5,0,44,35,141,79,28.2,8.8,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,127,5,0,93,39,136,79,27.2,18.6,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,295,15,1,214,116,191,47,12.733334,14.266666,true
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,21,2,0,8,8,126,79,63,4,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestZkVersion.java,65,3,0,61,59,138,79,46,20.333334,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,51,4,0,19,15,159,79,39.75,4.75,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,23,2,0,2,2,71,47,35.5,1,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,33,3,0,15,15,147,79,49,5,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,48,6,0,12,8,184,79,30.666666,2,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,37,3,0,28,28,139,79,46.333332,9.333333,false
4.2.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,323,9,0,237,179,220,79,24.444445,26.333334,false
